date,icon,temperatureMax,precipType
2018-06-08,,79.17,
2018-06-09,,79.18,
2018-06-10,,78.56,
2018-06-11,,82.18,
2018-06-12,,73.26,
2018-06-13,,60.75,
2018-06-14,,64.02,
2018-06-15,,70.06,
2018-06-16,,76.66,
2018-06-17,,73.59,
2018-06-18,,73.0,
2018-06-19,,74.91,
2018-06-20,,80.35,
2018-06-21,,81.99,
2018-06-22,,62.46,
2018-06-23,,62.32,
2018-06-24,,64.66,
2018-06-25,,65.98,
2018-06-26,,70.06,
2018-06-27,,70.22,
2018-06-28,,59.86,
2018-06-29,,73.77,
2018-06-30,,76.64,
2018-07-01,,71.49,
2018-07-02,,74.19,
2018-07-03,,76.15,
2018-07-04,,77.26,
2018-07-05,,77.27,
2018-07-06,,66.99,
2018-07-07,,74.97,
2018-07-08,,76.64,
2018-07-09,,76.78,
2018-07-10,,72.0,
2018-07-11,,65.87,
2018-07-12,,71.51,
2018-07-13,,78.59,
2018-07-14,,78.46,
2018-07-15,,81.64,
2018-07-16,,74.46,
2018-07-17,,76.13,
2018-07-18,,80.2,
2018-07-19,,80.4,
2018-07-20,,83.17,
2018-07-21,,69.46,
2018-07-22,,65.49,
2018-07-23,,76.2,
2018-07-24,,80.86,
2018-07-25,,84.66,
2018-07-26,,81.01,
2018-07-27,,82.67,
2018-07-28,,82.07,
2018-07-29,,85.69,
2018-07-30,,87.48,
2018-07-31,,89.99,
2018-08-01,,90.06,
2018-08-02,,84.45,
2018-08-03,,87.62,
2018-08-04,,90.05,
2018-08-05,,85.74,
2018-08-06,,86.73,
2018-08-07,,87.4,
2018-08-08,,83.97,
2018-08-09,,92.19,
2018-08-10,,67.65,
2018-08-11,,75.07,
2018-08-12,,81.32,
2018-08-13,,83.05,
2018-08-14,,73.05,
2018-08-15,,76.91,
2018-08-16,,79.69,
2018-08-17,,82.13,
2018-08-18,,80.24,
2018-08-19,,85.91,
2018-08-20,,83.8,
2018-08-21,,84.49,
2018-08-22,,87.4,
2018-08-23,,83.88,
2018-08-24,,70.58,
2018-08-25,,62.23,
2018-08-26,,62.43,
2018-08-27,,75.93,
2018-08-28,,77.74,
2018-08-29,,83.24,
2018-08-30,,66.45,
2018-08-31,,58.73,
2018-09-01,,55.19,
2018-09-02,,61.04,
2018-09-03,,65.29,
2018-09-04,,65.8,
2018-09-05,,72.99,
2018-09-06,,76.01,
2018-09-07,,69.01,
2018-09-08,,69.58,
2018-09-09,,74.89,
2018-09-10,,76.59,
2018-09-11,,79.55,
2018-09-12,,82.12,
2018-09-13,,75.94,
2018-09-14,,68.33,
2018-09-15,,68.25,
2018-09-16,,73.26,
2018-09-17,,77.24,
2018-09-18,,80.21,
2018-09-19,,76.6,
2018-09-20,,80.78,
2018-09-21,,81.02,
2018-09-22,,62.3,
2018-09-23,,76.74,
2018-09-24,,55.06,
2018-09-25,,53.18,
2018-09-26,,62.19,
2018-09-27,,70.68,
2018-09-28,,68.88,
2018-09-29,,58.72,
2018-09-30,,66.66,
2018-10-01,,52.71,
2018-10-02,,51.44,
2018-10-03,,55.11,
2018-10-04,,61.68,
2018-10-05,,68.31,
2018-10-06,,72.46,
2018-10-07,,66.05,
2018-10-08,,63.36,
2018-10-09,,62.3,
2018-10-10,,69.39,
2018-10-11,clear-day,75.1,
2018-10-12,partly-cloudy-day,76.43,
2018-10-13,clear-day,74.7,
2018-10-14,clear-day,74.31,
2018-10-15,clear-day,73.97,
2018-10-16,clear-day,72.33,rain
2018-10-17,clear-day,71.05,
2018-10-18,partly-cloudy-day,68.81,
2018-10-19,clear-day,63.01,
2018-10-20,clear-day,61.08,rain
2018-10-21,clear-day,58.71,
2018-10-22,clear-day,59.87,rain
2018-10-23,rain,50.98,rain
2018-10-24,rain,54.6,rain
2018-10-25,rain,54.51,rain
2018-10-26,partly-cloudy-day,57.8,rain
2018-10-27,rain,45.75,rain
2018-10-28,rain,41.5,rain
2018-10-29,wind,57.42,rain
2018-10-30,rain,57.95,rain
2018-10-31,partly-cloudy-day,56.65,
2018-11-01,partly-cloudy-day,56.46,
2018-11-02,cloudy,55.34,rain
2018-11-03,clear-day,55.96,rain
2018-11-04,partly-cloudy-day,54.41,rain
2018-11-05,partly-cloudy-day,58.49,
2018-11-06,partly-cloudy-day,60.71,
2018-11-07,partly-cloudy-day,54.88,rain
2018-11-08,rain,54.31,rain
2018-11-09,cloudy,51.31,rain
2018-11-10,clear-day,51.08,rain
2018-11-11,rain,50.45,rain
2018-11-12,clear-day,51.63,
2018-11-13,rain,52.94,rain
2018-11-14,partly-cloudy-day,49.05,
2018-11-15,partly-cloudy-day,46.3,
2018-11-16,clear-day,44.75,
2018-11-17,clear-day,43.05,
2018-11-18,clear-day,41.79,rain
2018-11-19,partly-cloudy-day,37.3,snow
2018-11-20,partly-cloudy-day,42.59,rain
2018-11-21,partly-cloudy-day,40.45,rain
2018-11-22,partly-cloudy-day,39.73,rain
2018-11-23,clear-day,40.86,rain
2018-11-24,rain,42.13,rain
2018-11-25,rain,42.74,rain
2018-11-26,rain,40.54,rain
2018-11-27,rain,38.08,rain
2018-11-28,clear-day,35.99,snow
2018-11-29,partly-cloudy-day,37.13,
2018-11-30,rain,33.24,rain
2018-12-01,rain,43.46,rain
2018-12-02,rain,51.29,rain
2018-12-03,rain,54.22,rain
2018-12-04,rain,50.83,rain
2018-12-05,partly-cloudy-day,41.94,
2018-12-06,rain,46.58,rain
2018-12-07,rain,51.69,rain
2018-12-08,rain,47.09,rain
2018-12-09,rain,46.04,rain
2018-12-10,rain,41.8,rain
2018-12-11,rain,38.04,rain
2018-12-12,rain,37.86,rain
2018-12-13,clear-day,33.58,
2018-12-14,clear-day,31.66,
2018-12-15,clear-day,31.61,
2018-12-16,partly-cloudy-day,31.47,snow
2018-12-17,snow,36.42,snow
2018-12-18,rain,40.57,rain
2018-12-19,rain,34.98,rain
2018-12-20,rain,42.12,rain
2018-12-21,rain,50.53,rain
2018-12-22,rain,50.16,rain
2018-12-23,rain,48.26,rain
2018-12-24,rain,50.92,rain
2018-12-25,partly-cloudy-day,37.72,snow
2018-12-26,partly-cloudy-day,36.24,rain
2018-12-27,partly-cloudy-day,37.97,rain
2018-12-28,partly-cloudy-day,37.29,
2018-12-29,snow,36.41,snow
2018-12-30,rain,41.11,rain
2018-12-31,rain,42.48,rain
2019-01-01,rain,42.52,rain
2019-01-02,rain,37.56,rain
2019-01-03,partly-cloudy-day,34.52,snow
2019-01-04,snow,35.17,snow
2019-01-05,rain,41.14,rain
2019-01-06,rain,39.41,rain
2019-01-07,rain,39.9,rain
2019-01-08,rain,39.28,rain
2019-01-09,rain,36.17,rain
2019-01-10,snow,35.08,snow
2019-01-11,snow,34.05,snow
2019-01-12,rain,38.45,rain
2019-01-13,rain,44.15,rain
2019-01-14,rain,41.58,rain
2019-01-15,snow,39.0,snow
2019-01-16,partly-cloudy-day,39.99,rain
2019-01-17,rain,43.21,rain
2019-01-18,snow,35.01,snow
2019-01-19,partly-cloudy-day,34.79,
2019-01-20,clear-day,31.04,
2019-01-21,clear-day,34.99,
2019-01-22,clear-day,29.96,snow
2019-01-23,partly-cloudy-day,28.1,snow
2019-01-24,cloudy,31.49,snow
2019-01-25,partly-cloudy-day,29.0,snow
2019-01-26,rain,38.91,rain
2019-01-27,rain,42.94,rain
2019-01-28,rain,38.11,rain
2019-01-29,snow,35.92,snow
2019-01-30,partly-cloudy-day,36.08,snow
2019-01-31,partly-cloudy-day,37.84,
2019-02-01,rain,37.13,rain
2019-02-02,rain,38.48,rain
2019-02-03,snow,35.21,snow
2019-02-04,partly-cloudy-day,36.52,snow
2019-02-05,partly-cloudy-day,30.65,snow
2019-02-06,partly-cloudy-day,31.0,snow
2019-02-07,snow,33.18,snow
2019-02-08,partly-cloudy-day,42.06,rain
2019-02-09,rain,44.77,rain
2019-02-10,rain,43.86,rain
2019-02-11,rain,39.16,rain
2019-02-12,snow,38.01,snow
2019-02-13,partly-cloudy-day,45.41,rain
2019-02-14,partly-cloudy-day,46.32,snow
2019-02-15,clear-day,50.56,
2019-02-16,clear-day,50.12,rain
2019-02-17,clear-day,51.5,
2019-02-18,clear-day,53.28,
2019-02-19,partly-cloudy-day,51.05,rain
2019-02-20,partly-cloudy-day,47.74,rain
2019-02-21,partly-cloudy-day,50.66,rain
2019-02-22,rain,48.45,rain
2019-02-23,partly-cloudy-day,43.16,
2019-02-24,clear-day,48.37,snow
2019-02-25,clear-day,58.51,rain
2019-02-26,partly-cloudy-day,60.66,
2019-02-27,partly-cloudy-day,63.44,
2019-02-28,clear-day,61.62,rain
2019-03-01,rain,48.36,rain
2019-03-02,rain,44.69,rain
2019-03-03,rain,52.41,rain
2019-03-04,wind,55.44,rain
2019-03-05,rain,45.26,rain
2019-03-06,partly-cloudy-day,54.65,
2019-03-07,rain,53.29,rain
2019-03-08,rain,49.29,rain
2019-03-09,rain,48.7,rain
2019-03-10,rain,52.56,rain
2019-03-11,rain,39.36,rain
2019-03-12,rain,46.94,rain
2019-03-13,rain,46.61,rain
2019-03-14,rain,42.79,rain
2019-03-15,rain,49.95,rain
2019-03-16,rain,50.87,rain
2019-03-17,rain,61.64,rain
2019-03-18,rain,45.55,rain
2019-03-19,clear-day,47.55,rain
2019-03-20,clear-day,54.21,
2019-03-21,partly-cloudy-day,61.39,
2019-03-22,partly-cloudy-day,67.33,
2019-03-23,clear-day,67.9,rain
2019-03-24,partly-cloudy-day,61.58,rain
2019-03-25,rain,44.46,rain
2019-03-26,partly-cloudy-day,45.38,rain
2019-03-27,rain,49.96,rain
2019-03-28,partly-cloudy-day,51.44,rain
2019-03-29,clear-day,61.31,
2019-03-30,partly-cloudy-day,65.85,
2019-03-31,clear-day,66.88,rain
2019-04-01,clear-day,60.76,
2019-04-02,partly-cloudy-day,67.4,rain
2019-04-03,rain,68.22,rain
2019-04-04,partly-cloudy-day,67.48,rain
2019-04-05,cloudy,57.5,rain
2019-04-06,clear-day,64.38,
2019-04-07,partly-cloudy-day,62.34,rain
2019-04-08,partly-cloudy-day,64.71,rain
2019-04-09,rain,64.37,rain
2019-04-10,partly-cloudy-day,57.58,rain
2019-04-11,partly-cloudy-day,52.85,
2019-04-12,clear-day,48.43,
2019-04-13,partly-cloudy-day,47.77,rain
2019-04-14,partly-cloudy-day,48.95,rain
2019-04-15,clear-day,61.26,rain
2019-04-16,clear-day,65.01,
2019-04-17,partly-cloudy-day,65.99,
2019-04-18,partly-cloudy-day,68.16,
2019-04-19,clear-day,73.0,
2019-04-20,clear-day,73.71,
2019-04-21,clear-day,73.68,
2019-04-22,partly-cloudy-day,72.27,
2019-04-23,partly-cloudy-day,70.12,
2019-04-24,partly-cloudy-day,79.22,
2019-04-25,clear-day,78.54,
2019-04-26,rain,59.31,rain
2019-04-27,rain,58.84,rain
2019-04-28,rain,53.49,rain
2019-04-29,rain,49.58,rain
2019-04-30,rain,62.28,rain
2019-05-01,rain,62.79,rain
2019-05-02,partly-cloudy-day,66.22,rain
2019-05-03,rain,56.1,rain
2019-05-04,rain,48.2,rain
2019-05-05,cloudy,47.77,rain
2019-05-06,partly-cloudy-day,50.52,rain
2019-05-07,partly-cloudy-day,55.17,rain
2019-05-08,rain,59.55,rain
2019-05-09,rain,58.23,rain
2019-05-10,rain,61.92,rain
2019-05-11,rain,60.91,rain
2019-05-12,rain,54.21,rain
2019-05-13,clear-day,59.25,rain
2019-05-14,rain,53.41,rain
2019-05-15,partly-cloudy-day,53.34,rain
2019-05-16,rain,47.92,rain
2019-05-17,partly-cloudy-day,65.21,rain
2019-05-18,partly-cloudy-day,70.22,rain
2019-05-19,rain,74.79,rain
2019-05-20,rain,63.9,rain
2019-05-21,rain,60.18,rain
2019-05-22,rain,57.84,rain
2019-05-23,partly-cloudy-day,65.58,
2019-05-24,partly-cloudy-day,68.23,
2019-05-25,rain,71.15,rain
2019-05-26,clear-day,72.11,rain
2019-05-27,rain,72.56,rain
2019-05-28,rain,58.14,rain
2019-05-29,rain,57.77,rain
2019-05-30,clear-day,69.56,
2019-05-31,rain,71.96,rain
2019-06-01,partly-cloudy-day,79.87,
2019-06-02,clear-day,84.01,
2019-06-03,clear-day,86.59,rain
2019-06-04,rain,85.59,rain
2019-06-05,clear-day,85.75,rain
2019-06-06,rain,71.97,rain
2019-06-07,clear-day,79.17,rain
2019-06-08,partly-cloudy-day,69.86,rain
2019-06-09,rain,80.18,rain
2019-06-10,rain,79.44,rain
2019-06-11,rain,80.78,rain
2019-06-12,rain,78.22,rain
2019-06-13,partly-cloudy-day,77.76,rain
2019-06-14,partly-cloudy-day,88.11,
2019-06-15,partly-cloudy-day,77.4,
2019-06-16,rain,67.03,rain
2019-06-17,clear-day,77.03,rain
2019-06-18,clear-day,82.81,rain
2019-06-19,partly-cloudy-day,85.64,rain
2019-06-20,rain,74.34,rain
2019-06-21,rain,77.05,rain
2019-06-22,rain,73.04,rain
2019-06-23,rain,76.59,rain
2019-06-24,clear-day,84.35,
2019-06-25,clear-day,90.85,
2019-06-26,clear-day,96.34,
2019-06-27,clear-day,87.84,rain
2019-06-28,clear-day,83.91,
2019-06-29,clear-day,89.21,
2019-06-30,clear-day,96.29,
2019-07-01,rain,89.04,rain
2019-07-02,partly-cloudy-day,79.79,rain
2019-07-03,clear-day,77.91,
2019-07-04,clear-day,81.02,
2019-07-05,partly-cloudy-day,80.03,rain
2019-07-06,partly-cloudy-day,85.94,rain
2019-07-07,rain,72.5,rain
2019-07-08,partly-cloudy-day,71.09,rain
2019-07-09,partly-cloudy-day,67.07,rain
2019-07-10,clear-day,72.19,rain
2019-07-11,rain,69.65,rain
2019-07-12,rain,73.07,rain
2019-07-13,rain,65.42,rain
2019-07-14,rain,70.46,rain
2019-07-15,clear-day,74.58,rain
2019-07-16,clear-day,74.61,rain
2019-07-17,partly-cloudy-day,79.23,rain
2019-07-18,partly-cloudy-day,79.07,rain
2019-07-19,rain,76.94,rain
2019-07-20,rain,88.02,rain
2019-07-21,rain,79.4,rain
2019-07-22,partly-cloudy-day,84.62,rain
2019-07-23,clear-day,90.81,rain
2019-07-24,clear-day,94.72,rain
2019-07-25,clear-day,96.67,rain
2019-07-26,clear-day,96.69,rain
2019-07-27,rain,73.68,rain
2019-07-28,rain,81.42,rain
2019-07-29,rain,75.2,rain
2019-07-30,partly-cloudy-day,80.55,rain
2019-07-31,rain,71.73,rain
2019-08-01,partly-cloudy-day,78.37,rain
2019-08-02,rain,79.38,rain
2019-08-03,rain,71.41,rain
2019-08-04,clear-day,79.46,rain
2019-08-05,rain,75.86,rain
2019-08-06,rain,81.85,rain
2019-08-07,rain,72.97,rain
2019-08-08,rain,76.8,rain
2019-08-09,partly-cloudy-day,86.07,rain
2019-08-10,rain,73.01,rain
2019-08-11,partly-cloudy-day,82.02,rain
2019-08-12,rain,66.82,rain
2019-08-13,rain,71.12,rain
2019-08-14,partly-cloudy-day,68.49,rain
2019-08-15,rain,67.04,rain
2019-08-16,partly-cloudy-day,72.66,rain
2019-08-17,cloudy,75.76,rain
2019-08-18,rain,86.9,rain
2019-08-19,rain,75.16,rain
2019-08-20,rain,70.83,rain
2019-08-21,rain,73.24,rain
2019-08-22,partly-cloudy-day,75.91,rain
2019-08-23,clear-day,77.73,rain
2019-08-24,clear-day,82.65,rain
2019-08-25,rain,85.06,rain
2019-08-26,rain,83.85,rain
2019-08-27,rain,82.43,rain
2019-08-28,partly-cloudy-day,85.72,rain
2019-08-29,rain,82.46,rain
2019-08-30,clear-day,84.55,rain
2019-08-31,clear-day,84.93,rain
2019-09-01,rain,80.41,rain
2019-09-02,partly-cloudy-day,70.83,
2019-09-03,clear-day,73.82,rain
2019-09-04,clear-day,77.31,rain
2019-09-05,partly-cloudy-day,68.19,rain
2019-09-06,cloudy,66.44,rain
2019-09-07,rain,62.32,rain
2019-09-08,rain,61.7,rain
2019-09-09,rain,55.72,rain
2019-09-10,partly-cloudy-day,66.53,rain
2019-09-11,partly-cloudy-day,72.21,
2019-09-12,partly-cloudy-day,74.16,rain
2019-09-13,partly-cloudy-day,73.48,rain
2019-09-14,partly-cloudy-day,73.28,rain
2019-09-15,clear-day,78.94,rain
2019-09-16,partly-cloudy-day,75.86,rain
2019-09-17,partly-cloudy-day,67.22,rain
2019-09-18,clear-day,62.36,
2019-09-19,partly-cloudy-day,60.86,rain
2019-09-20,partly-cloudy-day,65.16,rain
2019-09-21,clear-day,72.32,
2019-09-22,clear-day,71.91,rain
2019-09-23,rain,60.46,rain
2019-09-24,partly-cloudy-day,67.39,rain
2019-09-25,rain,65.47,rain
2019-09-26,rain,66.68,rain
2019-09-27,rain,66.21,rain
2019-09-28,rain,64.16,rain
2019-09-29,rain,71.4,rain
2019-09-30,rain,62.87,rain
2019-10-01,rain,68.0,rain
2019-10-02,rain,58.92,rain
2019-10-03,rain,53.11,rain
2019-10-04,rain,53.22,rain
2019-10-05,rain,52.1,rain
2019-10-06,rain,53.7,rain
2019-10-07,rain,54.88,rain
2019-10-08,rain,54.81,rain
2019-10-09,rain,55.22,rain
2019-10-10,rain,54.86,rain
2019-10-11,partly-cloudy-day,63.36,rain
2019-10-12,clear-day,71.36,rain
2019-10-13,clear-day,72.85,rain
2019-10-14,clear-day,75.46,rain
2019-10-15,partly-cloudy-day,68.77,rain
2019-10-16,rain,61.49,rain
2019-10-17,partly-cloudy-day,64.85,rain
2019-10-18,rain,66.64,rain
2019-10-19,rain,58.43,rain
2019-10-20,partly-cloudy-day,64.2,
2019-10-21,partly-cloudy-day,63.22,rain
2019-10-22,partly-cloudy-day,66.44,rain
2019-10-23,clear-day,63.05,rain
2019-10-24,partly-cloudy-day,62.66,rain
2019-10-25,partly-cloudy-day,63.73,rain
2019-10-26,clear-day,63.18,rain
2019-10-27,rain,64.79,rain
2019-10-28,rain,52.14,rain
2019-10-29,cloudy,50.29,rain
2019-10-30,partly-cloudy-day,49.4,rain
2019-10-31,clear-day,47.91,
2019-11-01,rain,44.03,rain
2019-11-02,rain,58.78,rain
2019-11-03,rain,55.08,rain
2019-11-04,rain,53.4,rain
2019-11-05,rain,50.45,rain
2019-11-06,rain,49.56,rain
2019-11-07,rain,51.59,rain
2019-11-08,rain,47.27,rain
2019-11-09,rain,44.38,rain
2019-11-10,clear-day,44.95,snow
2019-11-11,clear-day,41.35,snow
2019-11-12,rain,43.42,rain
2019-11-13,rain,42.32,rain
2019-11-14,partly-cloudy-day,43.77,
2019-11-15,rain,50.12,rain
2019-11-16,rain,45.94,rain
2019-11-17,cloudy,53.18,rain
2019-11-18,rain,44.73,rain
2019-11-19,cloudy,44.04,rain
2019-11-20,rain,43.9,rain
2019-11-21,rain,43.72,rain
2019-11-22,partly-cloudy-day,42.14,rain
2019-11-23,partly-cloudy-day,50.93,rain
2019-11-24,partly-cloudy-day,50.12,rain
2019-11-25,cloudy,42.7,rain
2019-11-26,cloudy,45.04,rain
2019-11-27,rain,46.12,rain
2019-11-28,rain,50.47,rain
2019-11-29,rain,46.37,rain
2019-11-30,rain,39.75,rain
2019-12-01,partly-cloudy-day,37.17,snow
2019-12-02,partly-cloudy-day,38.26,snow
2019-12-03,partly-cloudy-day,38.19,rain
2019-12-04,clear-day,38.74,snow
2019-12-05,clear-day,34.15,rain
2019-12-06,clear-day,37.68,rain
2019-12-07,rain,44.29,rain
2019-12-08,rain,48.21,rain
2019-12-09,rain,47.95,rain
2019-12-10,rain,40.59,rain
2019-12-11,partly-cloudy-day,35.24,snow
2019-12-12,rain,38.78,rain
2019-12-13,rain,40.94,rain
2019-12-14,rain,43.86,rain
2019-12-15,rain,52.02,rain
2019-12-16,rain,47.58,rain
2019-12-17,partly-cloudy-day,48.75,rain
2019-12-18,rain,50.43,rain
2019-12-19,partly-cloudy-day,45.63,rain
2019-12-20,partly-cloudy-day,50.08,rain
2019-12-21,rain,46.02,rain
2019-12-22,rain,44.78,rain
2019-12-23,rain,43.66,rain
2019-12-24,rain,44.21,rain
2019-12-25,rain,46.08,rain
2019-12-26,partly-cloudy-day,41.48,rain
2019-12-27,rain,40.38,rain
2019-12-28,partly-cloudy-day,35.71,snow
2019-12-29,partly-cloudy-day,32.38,
2019-12-30,clear-day,35.56,snow
2019-12-31,partly-cloudy-day,38.03,
